Country,Country_Code,Category,Indicator_Code,Year,Enrollment
Oman,OMN,Male,SE.TER.ENRR.MA,2007,19.1495704650879
Qatar,QAT,Total,SE.TER.ENRR,2007,11.8196697235107
Qatar,QAT,Female,SE.TER.ENRR.FE,2007,31.7337493896484
Qatar,QAT,Male,SE.TER.ENRR.MA,2007,5.42910003662109
Saudi Arabia,SAU,Total,SE.TER.ENRR,2007,24.3000392913818
Saudi Arabia,SAU,Female,SE.TER.ENRR.FE,2007,34.9405097961426
Saudi Arabia,SAU,Male,SE.TER.ENRR.MA,2007,17.7684593200684
United Arab Emirates,ARE,Total,SE.TER.ENRR,2007,
United Arab Emirates,ARE,Female,SE.TER.ENRR.FE,2007,
United Arab Emirates,ARE,Male,SE.TER.ENRR.MA,2007,
Bahrain,BHR,Total,SE.TER.ENRR,2008,
Bahrain,BHR,Female,SE.TER.ENRR.FE,2008,
Bahrain,BHR,Male,SE.TER.ENRR.MA,2008,
Kuwait,KWT,Total,SE.TER.ENRR,2008,
Kuwait,KWT,Female,SE.TER.ENRR.FE,2008,
Kuwait,KWT,Male,SE.TER.ENRR.MA,2008,
Oman,OMN,Total,SE.TER.ENRR,2008,20.4462108612061
Oman,OMN,Female,SE.TER.ENRR.FE,2008,
Oman,OMN,Male,SE.TER.ENRR.MA,2008,
Qatar,QAT,Total,SE.TER.ENRR,2008,11.3421602249146
Qatar,QAT,Female,SE.TER.ENRR.FE,2008,33.9013900756836
Qatar,QAT,Male,SE.TER.ENRR.MA,2008,5.22662019729614
Saudi Arabia,SAU,Total,SE.TER.ENRR,2008,24.4659805297852
Saudi Arabia,SAU,Female,SE.TER.ENRR.FE,2008,35.4275283813477
Saudi Arabia,SAU,Male,SE.TER.ENRR.MA,2008,17.8131599426269
United Arab Emirates,ARE,Total,SE.TER.ENRR,2008,
United Arab Emirates,ARE,Female,SE.TER.ENRR.FE,2008,
United Arab Emirates,ARE,Male,SE.TER.ENRR.MA,2008,
Bahrain,BHR,Total,SE.TER.ENRR,2009,
Bahrain,BHR,Female,SE.TER.ENRR.FE,2009,
Bahrain,BHR,Male,SE.TER.ENRR.MA,2009,
Kuwait,KWT,Total,SE.TER.ENRR,2009,
Kuwait,KWT,Female,SE.TER.ENRR.FE,2009,
Kuwait,KWT,Male,SE.TER.ENRR.MA,2009,
Oman,OMN,Total,SE.TER.ENRR,2009,21.9678993225098
Oman,OMN,Female,SE.TER.ENRR.FE,2009,25.835880279541
